name,Rank,State,Growth From 2000 to 2013,Population,latitude,longitude
Evanston,439,Illinois,1.9,75570,42.0450722,-87.6876969
Kalamazoo,440,Michigan,-1.9,75548,42.2917069,-85.5872286
Baytown,441,Texas,13.1,75418,29.7355047,-94.9774274
Upland,442,California,9.5,75413,34.09751,-117.6483876
Springdale,443,Arkansas,57.1,75229,36.1867442,-94.1288141
Bethlehem,444,Pennsylvania,5.2,75018,40.6259316,-75.3704579
Schaumburg,445,Illinois,-0.5,74907,42.0333607,-88.0834059
Mount Pleasant,446,South Carolina,53.2,74885,32.8323225,-79.8284258
Auburn,447,Washington,34.9,74860,47.3073228,-122.2284532
Decatur,448,Illinois,-8.7,74710,39.8403147,-88.9548001
San Ramon,449,California,65.8,74513,37.7799273,-121.9780153
Pleasanton,450,California,15.2,74110,37.6624312,-121.8746789
Wyoming,451,Michigan,6.5,74100,42.9133602,-85.7053085
Lake Charles,452,Louisiana,3,74024,30.2265949,-93.2173758
Plymouth,453,Minnesota,12,73987,45.0105194,-93.4555093
Bolingbrook,454,Illinois,29.7,73936,41.6986416,-88.0683955
Pharr,455,Texas,55.7,73790,26.1947962,-98.1836216
Appleton,456,Wisconsin,4.5,73596,44.2619309,-88.4153847
Gastonia,457,North Carolina,8.2,73209,35.262082,-81.1873005
Folsom,458,California,38.6,73098,38.6779591,-121.1760583
Southfield,459,Michigan,-6.7,73006,42.4733688,-83.2218731
Rochester Hills,460,Michigan,5.7,72952,42.6583661,-83.1499322
New Britain,461,Connecticut,1.9,72939,41.6612104,-72.7795419
Goodyear,462,Arizona,271,72864,33.4353394,-112.3576567
Canton,463,Ohio,-10.3,72535,40.7989473,-81.378447
Warner Robins,464,Georgia,45.7,72531,32.6130007,-83.624201
Union City,465,California,7.4,72528,37.5933918,-122.0438298
Perris,466,California,98.7,72326,33.7825194,-117.2286478
Manteca,467,California,42.7,71948,37.7974273,-121.2160526
Iowa City,468,Iowa,13.8,71591,41.6611277,-91.5301683
Jonesboro,469,Arkansas,28.3,71551,35.8422967,-90.704279
Wilmington,470,Delaware,-1.6,71525,39.7390721,-75.5397878
Lynwood,471,California,2,71371,33.930293,-118.2114603
Loveland,472,Colorado,37.4,71334,40.3977612,-105.0749801
Pawtucket,473,Rhode Island,-2.5,71172,41.878711,-71.3825558
Boynton Beach,474,Florida,17.3,71097,26.5317866,-80.0905465
Waukesha,475,Wisconsin,8,71016,43.0116784,-88.2314813
Gulfport,476,Mississippi,-0.6,71012,30.3674198,-89.0928155
Apple Valley,477,California,29.9,70924,34.5008311,-117.1858759
Passaic,478,New Jersey,4.3,70868,40.8567662,-74.1284764
Rapid City,479,South Dakota,17.9,70812,44.0805434,-103.2310149
Layton,480,Utah,20.2,70790,41.0602216,-111.9710529
Lafayette,481,Indiana,14.5,70373,40.4167022,-86.8752869
Turlock,482,California,23.5,70365,37.4946568,-120.8465941
Muncie,483,Indiana,-0.7,70316,40.1933767,-85.3863599
Temple,484,Texas,27.1,70190,31.0982344,-97.342782
Missouri City,485,Texas,31.1,70185,29.6185669,-95.5377215
Redlands,486,California,9.4,69999,34.0555693,-117.1825381
Santa Fe,487,New Mexico,10.5,69976,35.6869752,-105.937799
Lauderhill,488,Florida,4.2,69813,26.1403635,-80.2133808
Milpitas,489,California,11,69783,37.4323341,-121.8995741
Palatine,490,Illinois,4.5,69350,42.1103041,-88.03424
Missoula,491,Montana,19.7,69122,46.8787176,-113.996586
Rock Hill,492,South Carolina,36,69103,34.9248667,-81.0250784
Jacksonville,493,North Carolina,5,69079,34.7540524,-77.4302414
Franklin,494,Tennessee,48.5,68886,35.9250637,-86.8688899
Flagstaff,495,Arizona,29.3,68667,35.1982836,-111.651302
Flower Mound,496,Texas,32.5,68609,33.0145673,-97.0969552
Weston,497,Florida,34.5,68388,26.1003654,-80.3997748
Waterloo,498,Iowa,-0.5,68366,42.492786,-92.3425775
Union City,499,New Jersey,1.7,68247,40.6975898,-74.2631635
Mount Vernon,500,New York,-0.2,68224,40.9125992,-73.8370786
